2,4
3,7
4,6
5,8
6,3
7,6
8,6
9,7
10,8
11,11
12,14
13,9
14,13
15,11
16,14
17,6
18,7
19,13
20,15
21,14
22,9
23,36
24,26
25,5
26,14
27,9
28,8
29,30
30,5
31,8
32,17
33,6
34,9
35,7
36,7
37,27
38,15
39,7
40,5
41,12
42,25
43,31
44,13
45,12
46,8
47,12
48,20
49,19
50,10
51,9
52,9
53,13
54,11
55,14
56,19
57,7
58,14
60,7
61,13
62,15
63,16
64,18
65,9
66,20
67,10
68,13
69,22
70,21
80,11
81,11
82,15
83,14
84,14
85,2
86,23
87,7
88,4
89,10
90,23
91,9
92,10
93,9
94,30
95,15
96,7
97,23
98,12
99,27
